Name,Year_of_Release,Global_Sales,User_Score,Critic_Score
Wii Sports,2006,82.53,8,76
Mario Kart Wii,2008,35.52,8.3,82
Wii Sports Resort,2009,32.77,8,80
New Super Mario Bros.,2006,29.8,8.5,89
Wii Play,2006,28.92,6.6,58
New Super Mario Bros. Wii,2009,28.32,8.4,87
Mario Kart DS,2005,23.21,8.6,91
Wii Fit,2007,22.7,7.7,80
Kinect Adventures!,2010,21.81,6.3,61
Wii Fit Plus,2009,21.79,7.4,80
Grand Theft Auto V,2013,21.04,8.2,97
Grand Theft Auto: San Andreas,2004,20.81,9,95
Brain Age: Train Your Brain in Minutes a Day,2005,20.15,7.9,77
Grand Theft Auto V,2013,16.27,8.1,97
Grand Theft Auto: Vice City,2002,16.15,8.7,95
Brain Age 2: More Training in Minutes a Day,2005,15.29,7.1,77
Gran Turismo 3: A-Spec,2001,14.98,8.4,95
Call of Duty: Modern Warfare 3,2011,14.73,3.4,88
Call of Duty: Black Ops,2010,14.61,6.3,87
Call of Duty: Black Ops II,2012,13.79,5.3,83
Call of Duty: Black Ops II,2012,13.67,4.8,83
Call of Duty: Modern Warfare 2,2009,13.47,6.3,94
Call of Duty: Modern Warfare 3,2011,13.32,3.2,88
Grand Theft Auto III,2001,13.1,8.5,97
Super Smash Bros. Brawl,2008,12.84,8.9,93
Mario Kart 7,2011,12.66,8.2,85
Call of Duty: Black Ops,2010,12.63,6.4,88
Grand Theft Auto V,2014,12.61,8.3,97
Animal Crossing: Wild World,2005,12.13,8.7,86
Halo 3,2007,12.12,7.8,94
Gran Turismo 4,2004,11.66,8.5,89
Super Mario Galaxy,2007,11.35,8.9,97
Grand Theft Auto IV,2008,11.01,7.9,98
Gran Turismo,1997,10.95,8.7,96
Super Mario 3D Land,2011,10.81,8.4,90
Gran Turismo 5,2010,10.7,7.5,84
Call of Duty: Modern Warfare 2,2009,10.6,6.3,94
Grand Theft Auto IV,2008,10.5,7.5,98
Call of Duty: Ghosts,2013,10.25,2.6,73
Just Dance 3,2011,10.12,7.8,74
New Super Mario Bros. 2,2012,9.9,7.2,78
Halo: Reach,2010,9.86,7.9,91
Final Fantasy VII,1997,9.72,9.2,92
Halo 4,2012,9.71,7,87
Gran Turismo 2,1999,9.49,9,93
Just Dance 2,2010,9.44,7.3,74
Call of Duty: Ghosts,2013,9.36,2.6,71
Call of Duty 4: Modern Warfare,2007,9.31,8.4,94
Animal Crossing: New Leaf,2012,9.16,8.7,88
Mario Party DS,2007,8.91,7.8,72
The Elder Scrolls V: Skyrim,2011,8.79,8.4,96
FIFA 16,2015,8.57,4.3,82
Halo 2,2004,8.49,8.2,95
Wii Party,2010,8.38,7.4,68
Mario Party 8,2007,8.27,6.3,62
FIFA Soccer 13,2012,8.16,6.6,88
Final Fantasy X,2001,8.05,8.7,92
The Sims 3,2009,8.01,7.6,86
Final Fantasy VIII,1999,7.86,8.6,90
Pokémon Platinum Version,2008,7.72,8.5,83
Grand Theft Auto: Liberty City Stories,2005,7.69,7.6,88
Call of Duty: Advanced Warfare,2014,7.66,5.7,83
FIFA 17,2016,7.59,5,85
Super Mario Galaxy 2,2010,7.51,9.1,97
Call of Duty: World at War,2008,7.38,7.6,84
Battlefield 3,2011,7.32,7.4,84
Need for Speed Underground,2003,7.2,8.6,85
Just Dance,2009,7.2,8,49
Battlefield 3,2011,7.17,7.5,85
Fallout 4,2015,7.16,6.5,87
Tekken 3,1998,7.16,9.1,96
The Legend of Zelda: Twilight Princess,2006,7.15,9,95
Crash Bandicoot 3: Warped,1998,7.13,8.9,91
Mario Kart 8,2014,7.09,9.1,88
Super Smash Bros. Melee,2001,7.07,9.1,92
Need for Speed Underground 2,2004,6.9,8.6,82
Medal of Honor: Frontline,2002,6.83,8.5,88
Just Dance 4,2012,6.76,7.3,74
Gears of War 2,2008,6.75,7.7,93
Uncharted 3: Drake's Deception,2011,6.74,8.3,92
Call of Duty 4: Modern Warfare,2007,6.68,8.4,94
Uncharted 2: Among Thieves,2009,6.66,8.8,96
Big Brain Academy,2005,6.62,7.4,74
Red Dead Redemption,2010,6.49,8.8,95
FIFA 14,2013,6.47,4.3,86
Assassin's Creed III,2012,6.45,6.9,85
Donkey Kong Country Returns,2010,6.44,8.6,87
