Developer,Genre,Total_Global_Sales
EA Sports,Sports,166.21
Nintendo,Sports,161.78
Nintendo,Platform,123.07
Rockstar North,Action,119.47
EA Canada,Sports,100.77
EA Tiburon,Sports,87.5
Treyarch,Shooter,82.32
Infinity Ward,Shooter,77.62
Nintendo,Misc,71.18
Traveller's Tales,Action,69.88
Nintendo,Racing,66.67
Visual Concepts,Sports,65.74
Polyphony Digital,Racing,65.2
Ubisoft Montreal,Action,61.12
Capcom,Action,58.61
Ubisoft,Misc,56.63
SquareSoft,Role-Playing,54.65
EA DICE,Shooter,48.09
Harmonix Music Systems,Misc,42.12
Bethesda Game Studios,Role-Playing,41.6
Square Enix,Role-Playing,41.16
TT Games,Action,38.13
Ubisoft,Action,37.1
Nintendo,Action,36.48
Konami,Sports,36.29
Maxis,Simulation,35.69
Yuke's,Fighting,35.56
EA Canada,Racing,34.93
Neversoft Entertainment,Sports,33.63
Namco,Fighting,33.27
Nintendo,Simulation,32.11
"Infinity Ward, Sledgehammer Games",Shooter,29.77
Ubisoft Montreal,Shooter,29.4
"Bungie Software, Bungie",Shooter,29.01
Blizzard Entertainment,Role-Playing,27.79
Omega Force,Action,26.95
BioWare,Role-Playing,26.78
Sonic Team,Platform,25.91
Rocksteady Studios,Action,24.51
Electronic Arts,Action,24.02
Epic Games,Shooter,22.72
Neversoft Entertainment,Misc,22.37
Nintendo,Puzzle,22.34
Good Science Studio,Misc,21.81
Capcom,Role-Playing,20.26
Rainbow Studios,Racing,20.06
Gearbox Software,Shooter,20.02
343 Industries,Shooter,19.82
Rockstar Leeds,Action,19.61
Codemasters,Racing,19.45
Naughty Dog,Action,19.27
Electronic Arts,Sports,19.17
Valve Software,Shooter,19.14
The Sims Studio,Simulation,18.93
EA LA,Shooter,18.46
Criterion Games,Racing,18.35
Turn 10,Racing,18.11
Level 5,Role-Playing,17.99
Treyarch,Action,17.83
KCEJ,Action,17.49
Vicarious Visions,Misc,17.47
Capcom,Fighting,16.79
Level 5,Puzzle,16.61
DMA Design,Action,16.52
TT Fusion,Action,16.37
Volition Inc.,Action,16.18
Hudson,Misc,16.09
Bungie,Shooter,16.06
Bungie Software,Shooter,15.61
SCE Santa Monica,Action,15.57
Naughty Dog,Platform,15.4
Rockstar San Diego,Action,15.02
Core Design Ltd.,Action,14.53
Toys for Bob,Action,14.46
Konami,Simulation,14.17
Game Freak,Role-Playing,14.13
Zipper Interactive,Shooter,13.88
Obsidian Entertainment,Role-Playing,13.56
Ubisoft,Simulation,13.48
Game Arts,Fighting,13.4
Sledgehammer Games,Shooter,13.34
Vicarious Visions,Platform,13.33
Nd Cube,Misc,13.26
Kojima Productions,Action,12.73
Pandemic Studios,Shooter,12.72
Vicarious Visions,Action,12.7
Midway,Fighting,12.7
"Retro Studios, Entertainment Analysis & Development Division",Racing,12.66
KCET,Sports,12.17
"EA Sports, EA Vancouver",Sports,11.47
Eurocom Entertainment Software,Action,11.46
EA Black Box,Racing,11.37
Dimps Corporation,Fighting,11.24
Nintendo,Shooter,11.11
Hudson Soft,Misc,11.04
Reflections Interactive,Action,11
Rockstar San Diego,Racing,10.92
HAL Labs,Platform,10.9
SCEA San Diego Studios,Sports,10.89
Ubisoft Montreal,Adventure,10.85
Insomniac Games,Shooter,10.67
Io Interactive,Action,10.61
From Software,Role-Playing,10.58
LucasArts,Action,10.55
Guerrilla,Shooter,10.52
Ubisoft,Sports,10.51
TOSE,Role-Playing,10.39
Techland,Action,10.08
Lionhead Studios,Role-Playing,10.04
Radical Entertainment,Action,10
Rebellion,Shooter,9.65
"Pipeworks Software, Inc.",Sports,9.65
CyberConnect2,Fighting,9.36
Crystal Dynamics,Action,9.25
Yuke's,Sports,9.24
High Moon Studios,Shooter,9.18
Konami,Action,9.17
Heavy Iron Studios,Platform,9.13
Artificial Mind and Movement,Action,8.96
Mass Media,Misc,8.94
Traveller's Tales,Platform,8.94
SCEE London Studio,Misc,8.9
Ubisoft Paris,Misc,8.83
Blizzard Entertainment,Strategy,8.76
Clap Hanz,Sports,8.61
Capcom,Shooter,8.45
Raven Software,Role-Playing,8.39
Kush Games,Sports,8.39
"SCE/WWS, Media Molecule",Platform,8.36
NetherRealm Studios,Fighting,8.34
989 Sports,Sports,8.29
Midway,Sports,8.27
Griptonite Games,Action,8.21
"Luxoflux, Inc.",Action,8.2
Krome Studios,Action,8.19
Electronic Arts,Misc,8.08
"Ubisoft, Ubisoft Montreal",Action,8.01
Retro Studios,Platform,7.96
Visceral Games,Shooter,7.93
Evolution Studios,Racing,7.92
Bluepoint Games,Action,7.9
Shiny Entertainment,Action,7.86
Bethesda Softworks,Role-Playing,7.83
EA Black Box,Sports,7.8
EA Games,Action,7.74
Sucker Punch,Action,7.57
Activision,Sports,7.51
Nintendo EAD Tokyo,Platform,7.51
THQ,Action,7.42
Double Helix Games,Action,7.37
Ubisoft Shanghai,Action,7.21
Cat Daddy Games,Misc,7.2
Intelligent Systems,Role-Playing,7.17
Visual Concepts,Action,7.13
HAL Labs,Fighting,7.07
Tri-Ace,Role-Playing,7.03
TOSE,Simulation,7
EA Redwood Shores,Shooter,6.9
Spike,Fighting,6.88
"Ubisoft Paris, Ubisoft Montpellier",Misc,6.87
Firaxis Games,Strategy,6.82
EA Redwood Shores,Action,6.81
Argonaut Games,Action,6.74
Midway,Misc,6.74
Stormfront Studios,Action,6.72
Capcom,Adventure,6.71
Sumo Digital,Sports,6.64
Sports Interactive,Sports,6.56
Avalanche Studios,Action,6.55
Retro Studios,Shooter,6.55
Digital Eclipse,Misc,6.48
Arc System Works,Fighting,6.46
Climax Group,Racing,6.43
