Name,Platform,Developer,Publisher,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Wii Sports,Wii,Nintendo,Nintendo,82.53,41.36,28.96,3.77,8.45
Mario Kart Wii,Wii,Nintendo,Nintendo,35.52,15.68,12.76,3.79,3.29
Wii Sports Resort,Wii,Nintendo,Nintendo,32.77,15.61,10.93,3.28,2.95
New Super Mario Bros.,DS,Nintendo,Nintendo,29.8,11.28,9.14,6.5,2.88
Wii Play,Wii,Nintendo,Nintendo,28.92,13.96,9.18,2.93,2.84
New Super Mario Bros. Wii,Wii,Nintendo,Nintendo,28.32,14.44,6.94,4.7,2.24
Mario Kart DS,DS,Nintendo,Nintendo,23.21,9.71,7.47,4.13,1.9
Wii Fit,Wii,Nintendo,Nintendo,22.7,8.92,8.03,3.6,2.15
Wii Fit Plus,Wii,Nintendo,Nintendo,21.79,9.01,8.49,2.53,1.77
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Nintendo,20.15,4.74,9.2,4.16,2.04
Brain Age 2: More Training in Minutes a Day,DS,Nintendo,Nintendo,15.29,3.43,5.35,5.32,1.18
Super Smash Bros. Brawl,Wii,Game Arts,Nintendo,12.84,6.62,2.55,2.66,1.01
Mario Kart 7,3DS,"Retro Studios, Entertainment Analysis & Development Division",Nintendo,12.66,5.03,4.02,2.69,0.91
Animal Crossing: Wild World,DS,Nintendo,Nintendo,12.13,2.5,3.45,5.33,0.86
Super Mario Galaxy,Wii,Nintendo,Nintendo,11.35,6.06,3.35,1.2,0.74
Super Mario 3D Land,3DS,Nintendo,Nintendo,10.81,4.89,3,2.14,0.78
New Super Mario Bros. 2,3DS,Nintendo,Nintendo,9.9,3.66,3.14,2.47,0.63
Animal Crossing: New Leaf,3DS,Nintendo,Nintendo,9.16,2.03,2.36,4.39,0.39
Mario Party DS,DS,Hudson Soft,Nintendo,8.91,4.4,1.85,1.98,0.68
Wii Party,Wii,Nd Cube,Nintendo,8.38,1.75,3.47,2.49,0.67
Mario Party 8,Wii,Hudson,Nintendo,8.27,3.74,2.24,1.58,0.7
Pokémon Platinum Version,DS,Game Freak,Nintendo,7.72,2.76,1.72,2.69,0.54
Super Mario Galaxy 2,Wii,Nintendo EAD Tokyo,Nintendo,7.51,3.56,2.35,0.98,0.62
The Legend of Zelda: Twilight Princess,Wii,Nintendo,Nintendo,7.15,3.74,2.14,0.6,0.68
Mario Kart 8,WiiU,Nintendo,Nintendo,7.09,3.15,2.15,1.28,0.51
Super Smash Bros. Melee,GC,HAL Labs,Nintendo,7.07,4.41,1.04,1.39,0.22
Big Brain Academy,DS,Nintendo,Nintendo,6.62,1.66,2.75,1.6,0.62
Donkey Kong Country Returns,Wii,Retro Studios,Nintendo,6.44,3.17,1.79,1.03,0.46
Pokémon Emerald Version,GBA,Game Freak,Nintendo,6.41,2.57,1.58,2.06,0.21
Super Mario Sunshine,GC,Nintendo,Nintendo,6.31,4.01,1.26,0.87,0.17
Dragon Quest IX: Sentinels of the Starry Skies,DS,Level 5,Nintendo,5.78,0.63,0.67,4.35,0.15
Super Mario Advance,GBA,Nintendo,Nintendo,5.49,3.14,1.24,0.91,0.2
Mario Kart: Super Circuit,GBA,Intelligent Systems,Nintendo,5.47,2.62,1.64,0.99,0.23
New Super Mario Bros. U,WiiU,Nintendo,Nintendo,5.22,2.3,1.34,1.27,0.32
Professor Layton and the Curious Village,DS,Level 5,Nintendo,5.19,1.21,2.43,1.03,0.52
The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Nintendo,5.08,1.85,1.8,0.95,0.48
Link's Crossbow Training,Wii,Nintendo,Nintendo,4.98,3.05,1.17,0.29,0.46
Animal Crossing: City Folk,Wii,Nintendo,Nintendo,4.62,1.82,1.12,1.32,0.36
The Legend of Zelda: The Wind Waker,GC,Nintendo,Nintendo,4.6,2.6,0.99,0.89,0.13
Luigi's Mansion: Dark Moon,3DS,Next Level Games,Nintendo,4.59,1.8,1.39,1.11,0.29
Splatoon,WiiU,Nintendo,Nintendo,4.43,1.54,1.18,1.46,0.26
Nintendo Land,WiiU,Nintendo,Nintendo,4.42,2.52,1.11,0.46,0.33
Super Mario 3D World,WiiU,Nintendo,Nintendo,4.32,2.11,1.16,0.73,0.32
The Legend of Zelda: Skyward Sword,Wii,Nintendo,Nintendo,3.95,2.03,1.16,0.37,0.38
Professor Layton and the Diabolical Box,DS,Level 5,Nintendo,3.94,0.9,1.76,0.92,0.37
Monster Hunter 4 Ultimate,3DS,Capcom,Nintendo,3.89,0.68,0.48,2.62,0.11
Flash Focus: Vision Training in Minutes a Day,DS,"Nintendo, Namco Bandai Games",Nintendo,3.83,0.86,1.56,1.05,0.35
Big Brain Academy: Wii Degree,Wii,Nintendo,Nintendo,3.79,1.05,1.91,0.41,0.42
Super Paper Mario,Wii,Intelligent Systems,Nintendo,3.71,1.95,0.86,0.59,0.31
Luigi's Mansion,GC,Nintendo,Nintendo,3.6,2.38,0.67,0.46,0.1
Clubhouse Games,DS,Agenda,Nintendo,3.45,0.59,1.79,0.73,0.34
The Legend of Zelda: Spirit Tracks,DS,Nintendo,Nintendo,3.31,1.4,0.91,0.74,0.26
Professor Layton and the Unwound Future,DS,Level 5,Nintendo,3.26,0.6,1.57,0.82,0.27
Wii Music,Wii,Nintendo,Nintendo,3.25,1.35,1.11,0.46,0.32
Super Mario Maker,WiiU,Nintendo,Nintendo,3.21,1.18,0.89,0.94,0.2
Animal Crossing,GC,Nintendo,Nintendo,3.15,1.92,0.16,0.99,0.09
Mario Party 9,Wii,Nd Cube,Nintendo,3.13,1.06,1.09,0.76,0.22
Rhythm Heaven,DS,Nintendo,Nintendo,3.11,0.55,0.5,1.93,0.13
Personal Trainer: Cooking,DS,Indies Zero,Nintendo,3.11,0.9,1,1.03,0.17
The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,Nintendo,3.1,1.4,1.01,0.46,0.23
Animal Crossing: Happy Home Designer,3DS,Nintendo,Nintendo,3.05,0.51,1.02,1.4,0.12
Kirby Super Star Ultra,DS,HAL Labs,Nintendo,2.92,1.55,0.04,1.19,0.15
WarioWare: Smooth Moves,Wii,Intelligent Systems,Nintendo,2.89,0.86,1.04,0.73,0.26
Metroid Prime,GC,Retro Studios,Nintendo,2.82,1.96,0.67,0.1,0.09
Yoshi's Island DS,DS,Artoon,Nintendo,2.76,1.45,0.07,1.1,0.15
The Legend of Zelda: A Link to the Past,GBA,Capcom,Nintendo,2.7,1.75,0.52,0.33,0.1
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo,Nintendo,2.67,1.63,0.51,0.35,0.18
Professor Layton and the Last Specter,DS,Level 5,Nintendo,2.67,0.28,1.39,0.68,0.32
Mario Strikers Charged,Wii,Next Level Games,Nintendo,2.58,1.05,1.05,0.24,0.24
Style Savvy,DS,syn Sophia,Nintendo,2.58,0.62,0.82,0.96,0.18
Pokémon Colosseum,GC,Genius Sonority Inc.,Nintendo,2.54,1.21,0.57,0.7,0.07
Art Academy,DS,Headstrong Games,Nintendo,2.52,0.26,1.65,0.33,0.28
Mario Party 4,GC,Hudson,Nintendo,2.47,1.13,0.36,0.92,0.07
The Legend of Zelda: Majora's Mask 3D,3DS,GREZZO,Nintendo,2.34,1.15,0.55,0.47,0.17
Paper Mario: Sticker Star,3DS,Intelligent Systems,Nintendo,2.3,1.12,0.41,0.64,0.14
Pokemon Ranger: Shadows of Almia,DS,"HAL Labs, Creatures Inc.",Nintendo,2.28,0.94,0.53,0.62,0.18
Kirby: Nightmare in Dream Land,GBA,HAL Labs,Nintendo,2.27,1.22,0.1,0.91,0.04
Wario Land 4,GBA,Nintendo,Nintendo,2.26,0.9,0.73,0.54,0.09
Paper Mario: The Thousand-Year Door,GC,Intelligent Systems,Nintendo,2.25,1.48,0.25,0.46,0.06
New Super Luigi U,WiiU,Nintendo,Nintendo,2.24,1.25,0.62,0.18,0.18
Monster Hunter Tri,Wii,Capcom,Nintendo,2.22,0.65,0.4,1.05,0.11
Pokemon Ranger,DS,HAL Labs,Nintendo,2.15,1.28,0.03,0.73,0.12
Tetris DS,DS,Nintendo,Nintendo,2.1,0.63,0.05,1.35,0.08
Mario Party 5,GC,Hudson,Nintendo,2.08,0.97,0.33,0.73,0.06
Mario Sports Mix,Wii,Square Enix,Nintendo,2.08,0.88,0.44,0.63,0.12
Donkey Kong Country,GBA,Rare Ltd.,Nintendo,2.04,1.2,0.48,0.29,0.07
