Name,Platform,Year_of_Release,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Wii Sports,Wii,2006,82.53,41.36,28.96,3.77,8.45
Super Mario Bros.,NES,1985,40.24,29.08,3.58,6.81,0.77
Mario Kart Wii,Wii,2008,35.52,15.68,12.76,3.79,3.29
Wii Sports Resort,Wii,2009,32.77,15.61,10.93,3.28,2.95
Pokemon Red/Pokemon Blue,GB,1996,31.37,11.27,8.89,10.22,1
Tetris,GB,1989,30.26,23.2,2.26,4.22,0.58
New Super Mario Bros.,DS,2006,29.8,11.28,9.14,6.5,2.88
Wii Play,Wii,2006,28.92,13.96,9.18,2.93,2.84
New Super Mario Bros. Wii,Wii,2009,28.32,14.44,6.94,4.7,2.24
Duck Hunt,NES,1984,28.31,26.93,0.63,0.28,0.47
Nintendogs,DS,2005,24.67,9.05,10.95,1.93,2.74
Mario Kart DS,DS,2005,23.21,9.71,7.47,4.13,1.9
Pokemon Gold/Pokemon Silver,GB,1999,23.1,9,6.18,7.2,0.71
Wii Fit,Wii,2007,22.7,8.92,8.03,3.6,2.15
Kinect Adventures!,X360,2010,21.81,15,4.89,0.24,1.69
Wii Fit Plus,Wii,2009,21.79,9.01,8.49,2.53,1.77
Grand Theft Auto V,PS3,2013,21.04,7.02,9.09,0.98,3.96
Grand Theft Auto: San Andreas,PS2,2004,20.81,9.43,0.4,0.41,10.57
Super Mario World,SNES,1990,20.61,12.78,3.75,3.54,0.55
Brain Age: Train Your Brain in Minutes a Day,DS,2005,20.15,4.74,9.2,4.16,2.04
Pokemon Diamond/Pokemon Pearl,DS,2006,18.25,6.38,4.46,6.04,1.36
Super Mario Land,GB,1989,18.14,10.83,2.71,4.18,0.42
Super Mario Bros. 3,NES,1988,17.28,9.54,3.44,3.84,0.46
Grand Theft Auto V,X360,2013,16.27,9.66,5.14,0.06,1.41
Grand Theft Auto: Vice City,PS2,2002,16.15,8.41,5.49,0.47,1.78
Pokemon Ruby/Pokemon Sapphire,GBA,2002,15.85,6.06,3.9,5.38,0.5
Brain Age 2: More Training in Minutes a Day,DS,2005,15.29,3.43,5.35,5.32,1.18
Pokemon Black/Pokemon White,DS,2010,15.14,5.51,3.17,5.65,0.8
Gran Turismo 3: A-Spec,PS2,2001,14.98,6.85,5.09,1.87,1.16
Call of Duty: Modern Warfare 3,X360,2011,14.73,9.04,4.24,0.13,1.32
Pokémon Yellow: Special Pikachu Edition,GB,1998,14.64,5.89,5.04,3.12,0.59
Call of Duty: Black Ops 3,PS4,2015,14.63,6.03,5.86,0.36,2.38
Call of Duty: Black Ops,X360,2010,14.61,9.7,3.68,0.11,1.13
Pokemon X/Pokemon Y,3DS,2013,14.6,5.28,4.19,4.35,0.78
Call of Duty: Black Ops II,PS3,2012,13.79,4.99,5.73,0.65,2.42
Call of Duty: Black Ops II,X360,2012,13.67,8.25,4.24,0.07,1.12
Call of Duty: Modern Warfare 2,X360,2009,13.47,8.52,3.59,0.08,1.28
Call of Duty: Modern Warfare 3,PS3,2011,13.32,5.54,5.73,0.49,1.57
Grand Theft Auto III,PS2,2001,13.1,6.99,4.51,0.3,1.3
Super Smash Bros. Brawl,Wii,2008,12.84,6.62,2.55,2.66,1.01
Mario Kart 7,3DS,2011,12.66,5.03,4.02,2.69,0.91
Call of Duty: Black Ops,PS3,2010,12.63,5.99,4.37,0.48,1.79
Grand Theft Auto V,PS4,2014,12.61,3.96,6.31,0.38,1.97
Animal Crossing: Wild World,DS,2005,12.13,2.5,3.45,5.33,0.86
Halo 3,X360,2007,12.12,7.97,2.81,0.13,1.21
