Developer,Genre,Total_Global_Sales,Total_Global_Sales_By_Developer
Nintendo,Action,36.48,531.71
Nintendo,Racing,66.67,531.71
Nintendo,Adventure,3.03,531.71
Nintendo,Shooter,11.11,531.71
Nintendo,Strategy,3.94,531.71
Nintendo,Platform,123.07,531.71
Nintendo,Simulation,32.11,531.71
Nintendo,Sports,161.78,531.71
Nintendo,Misc,71.18,531.71
Nintendo,Puzzle,22.34,531.71
EA Sports,Fighting,4.21,175.38
EA Sports,Sports,166.21,175.38
EA Sports,Racing,4.96,175.38
EA Canada,Sports,100.77,142.32
EA Canada,Shooter,0.41,142.32
EA Canada,Action,0.5,142.32
EA Canada,Fighting,5.71,142.32
EA Canada,Racing,34.93,142.32
Ubisoft,Racing,3.11,132.54
Ubisoft,Strategy,0.99,132.54
Ubisoft,Puzzle,1.55,132.54
Ubisoft,Misc,56.63,132.54
Ubisoft,Platform,2.08,132.54
Ubisoft,Fighting,1.09,132.54
Ubisoft,Action,37.1,132.54
Ubisoft,Adventure,2.11,132.54
Ubisoft,Sports,10.51,132.54
Ubisoft,Simulation,13.48,132.54
Ubisoft,Shooter,3.89,132.54
Rockstar North,Action,119.47,119.47
Capcom,Action,58.61,115.71
Capcom,Strategy,0.08,115.71
Capcom,Simulation,1.39,115.71
Capcom,Platform,2.33,115.71
Capcom,Role-Playing,20.26,115.71
Capcom,Adventure,6.71,115.71
Capcom,Shooter,8.45,115.71
Capcom,Misc,0.48,115.71
Capcom,Sports,0.03,115.71
Capcom,Puzzle,0.14,115.71
Capcom,Fighting,16.79,115.71
Capcom,Racing,0.44,115.71
Ubisoft Montreal,Role-Playing,0.12,108.31
Ubisoft Montreal,Platform,0.22,108.31
Ubisoft Montreal,Action,61.12,108.31
Ubisoft Montreal,Strategy,0.12,108.31
Ubisoft Montreal,Misc,1.57,108.31
Ubisoft Montreal,Shooter,29.4,108.31
Ubisoft Montreal,Adventure,10.85,108.31
Ubisoft Montreal,Sports,4.91,108.31
Treyarch,Platform,1.54,103.16
Treyarch,Action,17.83,103.16
Treyarch,Sports,1.47,103.16
Treyarch,Shooter,82.32,103.16
EA Tiburon,Fighting,0.72,96.12
EA Tiburon,Racing,4.71,96.12
EA Tiburon,Sports,87.5,96.12
EA Tiburon,Puzzle,0.09,96.12
EA Tiburon,Action,3.1,96.12
Traveller's Tales,Action,69.88,79.22
Traveller's Tales,Shooter,0.22,79.22
Traveller's Tales,Racing,0.18,79.22
Traveller's Tales,Platform,8.94,79.22
Infinity Ward,Shooter,77.62,77.62
Visual Concepts,Sports,65.74,72.87
Visual Concepts,Action,7.13,72.87
Konami,Platform,5.4,72.56
Konami,Fighting,0.18,72.56
Konami,Racing,0.59,72.56
Konami,Action,9.17,72.56
Konami,Sports,36.29,72.56
Konami,Puzzle,0.19,72.56
Konami,Strategy,0.31,72.56
Konami,Simulation,14.17,72.56
Konami,Shooter,1.16,72.56
Konami,Misc,1.57,72.56
Konami,Role-Playing,1.82,72.56
Konami,Adventure,1.71,72.56
Electronic Arts,Sports,19.17,66.26
Electronic Arts,Simulation,5.36,66.26
Electronic Arts,Racing,4.19,66.26
Electronic Arts,Puzzle,0.22,66.26
Electronic Arts,Misc,8.08,66.26
Electronic Arts,Adventure,1.03,66.26
Electronic Arts,Action,24.02,66.26
Electronic Arts,Shooter,4.19,66.26
Polyphony Digital,Racing,65.2,65.2
Namco,Misc,1.88,63.11
Namco,Role-Playing,3.33,63.11
Namco,Adventure,0.12,63.11
Namco,Sports,1.76,63.11
Namco,Simulation,6.28,63.11
Namco,Fighting,33.27,63.11
Namco,Action,3.79,63.11
Namco,Puzzle,1.82,63.11
Namco,Shooter,5.82,63.11
Namco,Racing,4.57,63.11
Namco,Platform,0.47,63.11
Neversoft Entertainment,Shooter,2.14,61.27
Neversoft Entertainment,Action,3.13,61.27
Neversoft Entertainment,Misc,22.37,61.27
Neversoft Entertainment,Sports,33.63,61.27
Vicarious Visions,Misc,17.47,56.98
Vicarious Visions,Adventure,0.76,56.98
Vicarious Visions,Action,12.7,56.98
Vicarious Visions,Racing,3.16,56.98
Vicarious Visions,Role-Playing,2.69,56.98
Vicarious Visions,Shooter,2.33,56.98
Vicarious Visions,Sports,4.54,56.98
Vicarious Visions,Platform,13.33,56.98
SquareSoft,Role-Playing,54.65,54.65
Square Enix,Strategy,0.58,52.15
Square Enix,Role-Playing,41.16,52.15
Square Enix,Shooter,1.48,52.15
Square Enix,Fighting,3.11,52.15
Square Enix,Sports,3.68,52.15
Square Enix,Action,2.14,52.15
EA DICE,Shooter,48.09,51.01
EA DICE,Platform,2.92,51.01
Yuke's,Sports,9.24,47.5
Yuke's,Action,2.02,47.5
